UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,MAIL
6200,11292,12339,0
6200,11292,13198,0
6200,11292,13495,0
6200,11292,14869,0
6200,11292,15376,0
6200,11921,14869,0
6200,12339,11292,0
6200,13198,11292,0
6200,13244,11921,0
6200,13796,11292,0
6830,11292,11433,0
6830,12266,11292,0
6689,13502,12891,0
6904,11292,11413,0
6904,11413,11292,0
6904,11986,11292,0
6820,11298,13502,0
6820,13502,11298,0
6932,11292,14877,0
6932,14877,11292,0
6085,11109,15016,0
6085,11292,11109,0
6085,12266,11292,0
6085,12266,12012,0
6910,11292,10559,5737
6910,11292,12889,3787
6910,11292,14730,0
6910,14869,11292,218
6910,14869,11292,0
0A050,11292,14057,0
0A050,12892,11292,0
