UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,PASSENGERS
0A875,10423,11292,937
0A875,11292,11433,850
0A875,11292,11986,727
0A875,11292,12339,930
0A875,11292,13198,795
0A875,11292,13342,780
0A875,11292,13495,811
0A875,11618,11292,2053
0A875,12339,11292,954
0A875,12339,11292,755
0A875,13264,11292,755
0A875,13342,11292,817
0A875,14100,11292,761
6725,11292,11697,801
6725,11292,12451,1157
6725,11292,13198,989
6725,11292,13796,753
6725,11292,13851,994
6725,12451,11292,915
6725,14771,11292,885
6725,14869,11292,1002
6003,10397,11292,398
6003,11292,10397,308
6003,11292,11298,400
6003,11292,13871,387
6003,11292,14730,397
6200,11109,11921,0
6200,11292,13244,0
6200,11292,13244,0
6200,11921,11109,0
6200,13244,11292,0
6904,11292,11775,251
6035,11921,12889,921
6035,12889,11921,858
7041,11292,15412,453
7041,15412,11292,450
6700,10423,11292,419
6700,10561,11292,448
6700,11057,11292,503
6700,11292,11921,430
6700,11292,14524,489
6700,14524,11292,480
0A875,10620,11292,843
0A875,10713,11292,877
0A875,10800,11292,630
0A875,11292,10620,904
0A875,11292,10713,862
0A875,11292,10800,701
0A875,11292,11423,869
0A875,11292,11603,802
0A875,11292,11603,706
0A875,11292,13342,1153
0A875,11292,13851,772
0A875,11292,14122,761
0A875,11292,14869,780
0A875,11423,11292,1034
0A875,11603,11292,938
0A875,13198,11292,895
0A875,13342,11292,1158
0A875,14100,11292,1054
0A875,14122,11292,807
0A875,15370,11292,844
6725,10423,11292,953
6725,11042,11292,1150
6725,11292,11618,1144
6725,11292,14193,944
6725,11292,14492,1152
6725,14193,11292,959
6725,15370,11292,928
6904,11003,11292,290
6904,11292,12094,298
6904,11775,11292,294
6910,11292,14730,0
6910,14730,11292,0
0A050,11292,14107,876
0A050,14107,11292,1007
7041,11292,11042,523
6700,11193,11292,530
6700,11292,15376,397
6700,13851,11292,464
0A875,10423,11292,972
0A875,11292,10423,642
0A875,11292,10529,1038
0A875,11292,11433,1017
0A875,11292,11697,1240
0A875,11292,12953,945
0A875,11292,13485,1016
0A875,11292,13487,1072
0A875,11292,14747,1323
0A875,11292,15370,922
0A875,11603,11292,812
0A875,13495,11292,1170
0A875,14869,11292,1232
6725,11292,11884,1209
6725,11292,12191,1010
6725,11292,12892,1105
6725,11292,13851,986
6725,11292,14107,1099
6725,11292,14771,1062
6725,12889,11292,1048
6725,13198,11292,1056
6725,14492,11292,1313
6003,10693,11292,525
6460,11109,14771,917
6460,14771,11109,905
6200,11292,13796,0
6904,11292,12012,371
6904,12012,11292,245
6904,12094,11292,344
6035,10466,11109,1299
6035,11109,10466,1257
6035,11109,12889,1268
6035,11921,12892,1267
6035,12889,11109,1272
6035,12892,11921,1184
1158,10643,11292,308
1158,11292,10643,344
6700,11292,11003,356
6700,11292,11648,651
6700,11292,13851,409
6700,11292,13851,549
6700,11648,11292,570
6700,11921,11292,486
6700,13264,11292,630
0A875,10821,11292,1215
0A875,11292,12339,1254
0A875,11292,14057,1266
0A875,11433,11292,1185
0A875,11603,11292,1144
0A875,12339,11292,1259
0A875,13485,11292,1183
6725,11292,10397,1056
6725,11292,10529,1296
6725,12339,11292,1501
6725,13487,11292,1369
6725,14683,11292,1151
6460,11292,11278,1275
6910,14730,11292,0
6700,11066,11292,724
6700,11292,10800,444
6700,11292,11066,690
6700,11292,15376,667
6700,15016,11292,486
0A875,10529,11292,1341
0A875,11292,10821,1358
0A875,11292,11423,1248
0A875,11292,11775,1089
0A875,11292,14262,1073
0A875,11423,11292,1261
0A875,12264,11292,1472
0A875,13495,11292,1663
0A875,13891,11292,1618
0A875,14262,11292,916
6725,11292,11042,1332
6725,11292,12889,1178
6725,11292,13487,1691
6725,11292,14730,1359
6725,13851,11292,1336
6725,14730,11292,1329
6725,14771,11292,1366
6003,12266,11109,670
6460,11278,11292,1287
6460,11292,11423,1366
6460,11423,11292,1436
6200,11292,13244,0
6200,13244,11292,0
6904,11292,15370,403
6904,15370,11292,422
6932,11292,15177,13
6932,15177,11292,11
1177,10950,14107,77
1177,14107,10950,64
1260,11292,12953,1341
6700,13851,11292,477
0A875,10821,11292,1750
0A875,11292,11603,1180
0A875,11292,12264,1532
0A875,11292,13495,1609
0A875,11292,13871,1689
0A875,11292,13891,1761
0A875,11292,14893,1619
0A875,11775,11292,1216
6725,11292,12264,1806
6725,12892,11292,1499
6725,13198,11292,1838
6725,14107,11292,1517
6460,11109,12892,1388
6460,12892,11109,1401
6904,11292,11986,503
6673,11292,12478,1704
6673,12478,11292,1770
7041,11292,14683,776
7041,14683,11292,761
6700,11292,11603,528
0A875,11292,13487,1716
0A875,11292,14492,1426
0A875,11292,14747,1878
0A875,11298,11292,1731
0A875,13342,11292,1873
0A875,13487,11292,1577
0A875,14893,11292,1543
6725,11292,10693,1498
6200,11638,11921,0
6904,14783,11292,520
6035,11193,11292,1874
6035,11292,11193,1776
1260,12953,11292,1492
6700,11292,14869,762
6700,13367,11292,501
0A875,11292,10620,1495
0A875,11292,11423,1903
0A875,11292,13342,1926
0A875,11292,13871,1870
0A875,11292,13891,1836
0A875,11292,15304,1772
0A875,13204,11292,2217
0A875,14492,11292,1579
0A875,14679,11292,1724
6460,10849,11292,1648
6460,11003,11292,2259
6460,11292,10849,1855
6460,11292,11003,2180
6460,11292,11995,1820
6460,11292,14747,1849
6460,11995,11292,1862
6460,14747,11292,1853
6200,13796,11292,0
6700,11003,11292,596
0A875,10620,11292,1486
0A875,11292,10423,2007
0A875,11292,14679,2082
0A875,11423,11292,1877
0A875,12266,11292,1586
0A875,13871,11292,2069
0A875,13891,11292,2031
0A875,14831,11292,1929
6725,11259,11292,1910
6725,11697,11292,2359
6460,10693,11292,2967
6460,11292,10693,2602
6700,11109,14747,1007
6700,11603,11292,644
6700,14747,11109,1053
0A875,10140,11292,2081
0A875,11292,14122,2231
0A875,13871,11292,2331
0A875,14122,11292,2302
6003,11423,11292,932
6460,11292,13485,2455
6460,13485,11292,2373
6200,11292,13244,0
6904,11292,12003,637
6904,11292,15919,565
6904,15919,11292,569
6580,11109,14747,1004
6580,14747,11109,1024
1260,11433,11292,2613
6700,11292,13367,605
0A875,11292,10140,2324
0A875,12889,11292,2187
0A875,12953,11292,1854
0A875,14747,11292,2427
0A875,14893,11292,2296
6003,13244,11292,985
6460,10693,11292,2812
6460,11292,10693,2728
6460,11292,13486,2234
6460,11292,15412,2227
6460,13486,11292,1813
6460,15412,11292,2302
6200,11921,11638,0
6200,11921,13244,0
6200,13244,11292,0
6200,13244,11292,0
6200,13244,11921,0
6904,12003,11292,707
6904,12992,11292,708
1177,10950,14107,117
1177,14107,10950,121
1260,11292,13487,3355
1260,11433,11292,3222
7041,15370,11292,1059
6700,10140,11292,807
6700,11292,13198,1129
6700,11292,14262,1048
6700,11540,11292,1124
6700,14262,11292,1098
0A875,11066,11292,1932
0A875,11292,10140,2665
0A875,11292,11042,3223
0A875,11292,12339,2875
0A875,11292,12889,2193
0A875,13264,11292,1985
0A875,13495,11292,2494
0A875,14122,11292,2721
0A875,14831,11292,2500
6725,11292,11259,2123
6460,11292,14057,2319
6460,11292,14747,2891
6460,14057,11292,2433
6460,14747,11292,2934
6904,11292,13367,679
6700,11292,11540,918
6700,11292,11603,1058
6700,11292,15919,888
6700,11603,11292,1184
6700,12278,11292,873
0A875,10140,11292,2893
0A875,11292,10821,2741
0A875,11292,11066,2115
0A875,11292,12266,2160
0A875,11292,14122,3066
0A875,11292,14831,2620
0A875,11292,14831,2097
0A875,11292,14869,1747
0A875,11292,15016,2494
0A875,14869,11292,2222
0A875,15304,11292,3047
6725,11292,12889,2922
6003,11292,15370,1052
6904,11109,11292,801
6904,11292,11109,769
6904,11423,11292,677
6910,10620,11292,0
6910,11292,10620,0
6910,11292,13891,0
6910,13891,11292,0
6910,14512,11292,0
6700,11292,12278,799
6700,11292,14730,1235
6700,14457,11292,988
0A875,10529,11292,2334
0A875,10849,11292,1451
0A875,11292,10849,2272
0A875,11292,13264,2077
0A875,11292,13495,3116
0A875,11292,14107,2211
0A875,11292,14570,2274
0A875,11292,14683,2356
0A875,11292,14771,4382
0A875,11775,11292,1495
0A875,11884,11292,2518
0A875,14570,11292,1960
0A875,14771,11292,4400
0A875,15304,11292,2747
6003,10140,11292,1220
6003,11292,10140,1203
6003,11292,11042,1222
6003,11292,14869,1232
6003,13198,11292,1144
6460,11109,13930,2198
6200,10194,11292,0
6200,11292,10194,0
6200,13244,11292,0
7041,10397,11292,1231
7041,11292,13367,642
7041,11292,13495,1219
6700,10372,14869,893
6700,11267,11292,1309
6700,11292,13198,1343
6700,11292,15919,727
6700,11298,11292,1359
6700,11638,11292,1266
6700,14107,11292,1489
6700,14683,11292,1264
0A875,10423,11292,2599
0A875,11057,11292,2835
0A875,11292,11057,2533
0A875,11292,11775,2539
0A875,11292,11775,1873
0A875,11292,11884,2451
0A875,11292,13198,2357
0A875,11292,13851,2185
0A875,11292,14122,2786
0A875,11292,14679,2694
0A875,11292,14683,2630
0A875,11775,11292,2341
6725,11292,11042,3315
6460,11292,11423,3185
6460,11423,11292,3192
6460,13930,11109,2392
1260,13487,11292,3556
7041,11292,12278,1220
6700,10713,11292,852
6700,11292,10140,1345
6700,11292,15016,987
6700,14869,10372,1004
0A875,10397,11292,3030
0A875,11292,11697,2821
0A875,11292,13487,3082
0A875,11292,13891,2389
0A875,11292,14057,2839
0A875,11292,14747,2401
0A875,11292,14831,3102
0A875,11292,15304,3465
0A875,11986,11292,2346
0A875,13198,11292,2571
0A875,13891,11292,2463
0A875,14100,11292,2399
0A875,14122,11292,2854
0A875,15016,11292,2937
0A875,15304,11292,3323
6725,11292,10529,2247
6725,11292,14570,1683
6725,11292,14730,2102
6725,11292,14869,3148
6003,11292,13198,1354
6299,10140,11413,0
6299,11711,11413,0
7041,11292,11193,1332
7041,12094,11292,1184
7041,14783,11292,1171
6700,10372,14771,696
6700,10423,11292,1581
6700,11447,11292,779
6700,12992,11292,1379
6700,13029,11292,1215
0A875,11292,10529,2543
0A875,11292,13871,3055
0A875,11292,14524,2489
0A875,11292,14689,1559
0A875,11292,14771,6174
0A875,11697,11292,3078
0A875,13487,11292,2855
0A875,13495,11292,2673
0A875,13871,11292,2966
0A875,14057,11292,2615
0A875,14524,11292,2661
0A875,14683,11292,3690
0A875,14689,11292,2037
6725,11042,11292,2872
6725,11292,11066,3714
6725,11292,12953,3766
6003,11292,11066,1430
6460,10627,11292,3289
6460,11292,10627,3366
6200,10140,11413,0
6200,11109,13244,0
6200,11711,11413,0
6200,12094,11122,0
6200,13244,11109,0
6910,11292,14570,0
7041,11292,12094,1245
7041,11292,13871,1602
7041,11292,14457,1484
6700,10140,11292,1064
6700,10397,11292,1645
6700,10800,11292,1532
6700,11193,11292,1650
6700,11292,10140,1087
6700,11292,11298,1653
6700,11292,11638,1379
6700,11292,14107,1578
6700,11775,11292,1367
6700,13198,11292,1652
6700,13264,11292,1023
6700,14698,11292,996
6700,14771,10372,1102
0A875,10713,11292,3699
0A875,11292,10713,3729
0A875,11292,12441,2485
0A875,13851,11292,2105
0A875,13851,11292,2706
0A875,14100,11292,3887
0A875,14107,11292,3365
0A875,14771,11292,6738
6725,10994,11292,2635
6725,11292,10713,3760
