AIRPORT_ID,AIRPORT_SEQ_ID,CITY_MARKET_ID,AIRPORT_WAC
13486,1348602,33486,84
13487,1348702,31650,63
13871,1387102,33316,65
14783,1478302,34783,64
10397,1039705,30397,34
10849,1084903,30849,84
11003,1100303,31003,61
11066,1106603,31066,44
11066,1106603,31066,44
11193,1119302,33105,52
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11433,1143302,31295,43
11648,1164802,31648,84
12982,1298202,32982,2
13485,1348502,33485,45
14570,1457002,34570,85
10140,1014003,30140,86
10994,1099402,30994,37
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
13342,1334205,33342,45
13487,1348702,31650,63
13931,1393102,33667,38
14683,1468303,33214,74
14869,1486903,34614,87
15376,1537602,30436,81
11292,1129202,30325,82
11292,1129202,30325,82
11540,1154003,30615,74
14869,1486903,34614,87
11292,1129202,30325,82
11292,1129202,30325,82
13342,1334205,33342,45
14908,1490803,32575,91
11292,1129202,30325,82
11292,1129202,30325,82
12278,1227803,30928,62
13502,1350202,33502,82
13930,1393004,30977,41
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
14869,1486903,34614,87
11292,1129202,30325,82
11292,1129202,30325,82
12339,1233904,32337,42
10620,1062002,30620,84
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11413,1141304,30285,82
13198,1319801,33198,64
13244,1324402,33244,54
14262,1426204,34262,91
14869,1486903,34614,87
10713,1071302,30713,83
11057,1105703,31057,36
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11697,1169704,32467,33
11884,1188402,31884,93
13198,1319801,33198,64
13851,1385103,33851,73
13891,1389101,32575,91
14057,1405702,34057,92
14747,1474703,30559,93
14831,1483104,32457,91
15376,1537602,30436,81
10693,1069302,30693,54
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
12191,1219102,31453,74
12954,1295403,32575,91
13851,1385103,33851,73
14122,1412202,30198,23
15016,1501603,31123,64
15016,1501603,31123,64
11292,1129202,30325,82
14107,1410702,30466,81
13487,1348702,31650,63
11292,1129202,30325,82
11233,1123302,31233,88
11292,1129202,30325,82
11292,1129202,30325,82
13487,1348702,31650,63
13502,1350202,33502,82
13930,1393004,30977,41
10397,1039705,30397,34
11042,1104203,30647,44
11109,1110902,30189,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11423,1142304,31423,61
11648,1164802,31648,84
12278,1227803,30928,62
13244,1324402,33244,54
13433,1343302,33304,66
13964,1396403,33964,92
14489,1448902,34489,92
14689,1468902,34689,91
15370,1537002,34653,73
15376,1537602,30436,81
